有消费的学号,金额,,原始学号数据
13104020218,443.2,,"'13103100120',"
13104020220,488.63,,"'13103100221',"
13104050126,979.7,,"'13104010116',"
13104050221,654.96,,"'13104010212',"
13105010205,582.33,,"'13104010213',"
13105010224,281.7,,"'13104010216',"
13105050109,874.05,,"'13104020122',"
13108010112,749.55,,"'13104020213',"
13108010128,466.5,,"'13104020218',"
13108010214,346.3,,"'13104020220',"
13108010216,561.66,,"'13104040121',"
13108010217,741.87,,"'13104050126',"
13108010223,524.4,,"'13104050221',"
13108010227,460.3,,"'13105010205',"
13108020124,438.78,,"'13105010224',"
13108020125,498.1,,"'13105050109',"
13108020131,930.9,,"'13108010112',"
13108020132,483.72,,"'13108010128',"
13108020136,500.47,,"'13108010214',"
13108020137,706.15,,"'13108010216',"
13108020221,549.95,,"'13108010217',"
13108020222,393.05,,"'13108010223',"
13108020223,433.7,,"'13108010227',"
13108020231,284,,"'13108020124',"
13108020232,462.48,,"'13108020125',"
13108030117,405.75,,"'13108020131',"
13108030121,228.4,,"'13108020132',"
13108030124,542.98,,"'13108020136',"
13108030221,441.8,,"'13108020137',"
13108030222,257.78,,"'13108020221',"
13108030223,510.7,,"'13108020222',"
13108040118,364.46,,"'13108020223',"
13108040123,575.9,,"'13108020231',"
13108040220,442.57,,"'13108020232',"
13802010301,538.3,,"'13108030117',"
13802020402,278.5,,"'13108030121',"
13802040201,30,,"'13108030124',"
13802040203,277.7,,"'13108030221',"
13804040103,323.7,,"'13108030222',"
13804040204,56.5,,"'13108030223',"
13804050103,465.16,,"'13108040118',"
13804050201,806.5,,"'13108040123',"
13804050203,631.5,,"'13108040220',"
14101010123,683.22,,"'13802010301',"
14101010127,593.8,,"'13802020402',"
14101010128,392.7,,"'13802040201',"
14101010129,901.64,,"'13802040203',"
14101010132,558.4,,"'13804040103',"
14101010135,549.6,,"'13804040204',"
14101010219,535.5,,"'13804050103',"
14101010220,387.08,,"'13804050201',"
14101010223,229.2,,"'13804050203',"
14101010227,453.1,,"'14101010123',"
14101010229,702.1,,"'14101010127',"
14101010231,674.81,,"'14101010128',"
14101010232,555.66,,"'14101010129',"
14101010241,684.05,,"'14101010132',"
14101020117,576.1,,"'14101010135',"
14101020131,743.06,,"'14101010219',"
14101020223,633.2,,"'14101010220',"
14101020232,323.5,,"'14101010223',"
14101020333,622.3,,"'14101010227',"
14101020340,574.36,,"'14101010229',"
14101020420,417.5,,"'14101010231',"
14101020432,485.6,,"'14101010232',"
14101030122,698.79,,"'14101010241',"
14101030324,561.66,,"'14101020117',"
14101030424,226.3,,"'14101020131',"
14101040119,610.2,,"'14101020223',"
14101040125,664.1,,"'14101020232',"
14101040220,654.4,,"'14101020333',"
14101040226,433.86,,"'14101020340',"
14101040316,340.9,,"'14101020420',"
14101040318,374.6,,"'14101020432',"
14101040325,515.9,,"'14101030122',"
14101040326,694.83,,"'14101030324',"
14101040327,597.4,,"'14101030424',"
14101040418,490.2,,"'14101040119',"
14101040422,390.5,,"'14101040125',"
14101040423,557.6,,"'14101040220',"
14101040424,556.86,,"'14101040226',"
14101040427,644.2,,"'14101040316',"
14101050120,790.66,,"'14101040318',"
14101050122,700.3,,"'14101040325',"
14101050125,980.48,,"'14101040326',"
14101050126,428.5,,"'14101040327',"
14101050217,465,,"'14101040418',"
14101050219,672.08,,"'14101040422',"
14101050224,419.8,,"'14101040423',"
14101060117,1326.38,,"'14101040424',"
14101060121,274.8,,"'14101040427',"
14101060123,678,,"'14101050120',"
14101060126,499.5,,"'14101050122',"
14101060128,631.3,,"'14101050125',"
14101060216,683.9,,"'14101050126',"
14101060221,450.28,,"'14101050217',"
14101060225,588.92,,"'14101050219',"
14101060226,771.84,,"'14101050224',"
14101060227,500.49,,"'14101060117',"
14101060228,679.8,,"'14101060121',"
14101060315,822.7,,"'14101060123',"
14101060318,184.6,,"'14101060126',"
14101060320,466.6,,"'14101060128',"
14101060321,683.8,,"'14101060216',"
14101060325,489.08,,"'14101060221',"
14101060328,644.5,,"'14101060225',"
14101060414,669.4,,"'14101060226',"
14101060421,497.4,,"'14101060227',"
14101070118,942.69,,"'14101060228',"
14101070124,545.2,,"'14101060315',"
14101070127,734.96,,"'14101060318',"
14101070218,430.2,,"'14101060320',"
14101070221,796.26,,"'14101060321',"
14101070222,315.8,,"'14101060325',"
14101070223,582.3,,"'14101060328',"
14101070225,440.7,,"'14101060414',"
14101070228,823.7,,"'14101060421',"
14101080119,651.32,,"'14101070118',"
14101080128,259.5,,"'14101070124',"
14101080131,625.6,,"'14101070127',"
14101080132,475.7,,"'14101070218',"
14101080218,602.18,,"'14101070221',"
