有消费的学号,金额,,原始学号数据
16153010129,443.6,,"'16152010621',"
16153010213,601.88,,"'16152010625',"
16153010214,490.2,,"'16152010628',"
16153010216,223.8,,"'16152010709',"
16153010220,312.3,,"'16152010716',"
16153010225,614.88,,"'16152010718',"
16153010227,669.5,,"'16152010721',"
16153010228,699.5,,"'16152010722',"
16153010301,425.9,,"'16152010723',"
16153010312,710.83,,"'16152010728',"
16153010313,668.29,,"'16152010818',"
16153010314,407.3,,"'16152010827',"
16153010323,416.12,,"'16152010909',"
16153010327,581.39,,"'16152010912',"
16153010412,581.18,,"'16152010917',"
16153010415,511.92,,"'16152010923',"
16153010417,541.98,,"'16152010924',"
16153010418,767.17,,"'16153010112',"
16153010421,469.12,,"'16153010115',"
16153010422,668.2,,"'16153010117',"
16153010511,715.97,,"'16153010120',"
16153010518,523.7,,"'16153010123',"
16153010521,420.87,,"'16153010128 ',"
16153010522,548.73,,"'16153010129',"
16153010523,253.92,,"'16153010213',"
16153010524,370.7,,"'16153010214',"
16153010527,394.7,,"'16153010216',"
16153010612,631.32,,"'16153010220',"
16153010614,242.7,,"'16153010225',"
16153010616,487.3,,"'16153010227',"
16153010618,293.96,,"'16153010228',"
16153010623,536.9,,"'16153010301',"
16153010625,449.6,,"'16153010312',"
16153010713,621.5,,"'16153010313',"
16153010714,503.27,,"'16153010314',"
16153010716,730.5,,"'16153010323',"
16153010717,147.73,,"'16153010327',"
16153010719,592.32,,"'16153010412',"
16153010724,455.88,,"'16153010415',"
16154010114,10.46,,"'16153010417',"
16154010115,406.2,,"'16153010418',"
16154010125,373.02,,"'16153010421',"
16154010215,260.9,,"'16153010422',"
16154010222,108.5,,"'16153010511',"
16154010223,586.56,,"'16153010518',"
16154010311,661.08,,"'16153010521',"
16154010312,589.64,,"'16153010522',"
16154010321,422.6,,"'16153010523',"
16154010322,515.41,,"'16153010524',"
16154010323,575.7,,"'16153010527',"
16154010324,540.26,,"'16153010612',"
16154010411,419.98,,"'16153010614',"
16154010412,1006.73,,"'16153010616',"
16154010417,841.12,,"'16153010618',"
16154010421,364.3,,"'16153010623',"
16154010422,648.73,,"'16153010625',"
16154010425,657.22,,"'16153010713',"
16154010426,855.9,,"'16153010714',"
16154010513,624.94,,"'16153010716',"
16154010516,896.6,,"'16153010717',"
16154010518,278.3,,"'16153010719',"
16154010524,418.5,,"'16153010724',"
16154010618,156.8,,"'16154010114',"
16154010704,517.13,,"'16154010115',"
16154010705,759.19,,"'16154010125',"
16154010713,863,,"'16154010215',"
16154010715,279.3,,"'16154010222',"
16154010721,822.47,,"'16154010223',"
16154010724,743.1,,"'16154010311',"
16154010812,420.8,,"'16154010312',"
16154010813,402.9,,"'16154010321',"
16154010818,632.3,,"'16154010322',"
16154010821,206.7,,"'16154010323',"
16154010824,558.4,,"'16154010324',"
16155010123,672.7,,"'16154010411',"
16155010219,403.8,,"'16154010412',"
16155010222,390.6,,"'16154010417',"
16155010317,637.5,,"'16154010421',"
16155010321,616.55,,"'16154010422',"
16155010412,843.54,,"'16154010425',"
16155010506,626.9,,"'16154010426',"
16155020125,129.3,,"'16154010513',"
16155020219,629.6,,"'16154010516',"
16155020323,537.2,,"'16154010518',"
16155020403,588.3,,"'16154010524',"
16156010114,454.8,,"'16154010618',"
16156010123,1013.39,,"'16154010704',"
16156010217,532.2,,"'16154010705',"
16156010312,545.9,,"'16154010713',"
16156010408,562,,"'16154010715',"
16156010411,575.61,,"'16154010721',"
16156010426,611.8,,"'16154010724',"
16156010524,594.18,,"'16154010812',"
16157010111,913.62,,"'16154010813',"
16157010121,420.2,,"'16154010818',"
16157010122,578.1,,"'16154010821',"
16157010123,230.5,,"'16154010824',"
16157010222,458.74,,"'16155010123',"
16157010224,612.3,,"'16155010219',"
16157010228,695.78,,"'16155010222',"
16157010327,630.77,,"'16155010317',"
16157010420,578.81,,"'16155010321',"
16157010421,491.81,,"'16155010412',"
16157010427,364.04,,"'16155010506',"
16157010520,815.3,,"'16155020125',"
16157010528,592.18,,"'16155020219',"
16157010620,490.52,,"'16155020323',"
16157030127,413.1,,"'16155020403',"
16157030135,437.06,,"'16156010114',"
16157030210,423.83,,"'16156010123',"
16157030225,420.52,,"'16156010217',"
16157030227,362.37,,"'16156010312',"
16157030232,532.29,,"'16156010408',"
16157030235,388.6,,"'16156010411',"
16157030331,625.3,,"'16156010426',"
16157030334,648.2,,"'16156010524',"
16157030426,728.6,,"'16156010625',"
16157030433,504.38,,"'16157010111',"
16157030513,369.2,,"'16157010121',"
16157030632,504.8,,"'16157010122',"
16159010129,413.9,,"'16157010123',"
16159010130,565.5,,"'16157010222',"
16159010305,504.9,,"'16157010224',"
16159010320,601.2,,"'16157010228',"
16159010410,437.84,,"'16157010327',"
16159010428,517.76,,"'16157010420',"
16901030645,282,,"'16157010421',"
16901030650,279.3,,"'16157010427',"
16902010417,348.68,,"'16157010520',"
16902010437,312,,"'16157010528',"
16902010446,601.13,,"'16157010620',"
16902010505,499.26,,"'16157030127',"
16902010541,366.39,,"'16157030135',"
16902020611,301.7,,"'16157030210',"
16902020624,80.7,,"'16157030225',"
16902020708,77.2,,"'16157030227',"
16902020720,537.2,,"'16157030232',"
16902060305,542.12,,"'16157030235',"
16902060317,34.5,,"'16157030331',"
,,,"'16157030334',"
,,,"'16157030426',"
,,,"'16157030433',"
,,,"'16157030513',"
,,,"'16157030632',"
,,,"'16159010129',"
,,,"'16159010130',"
,,,"'16159010305',"
,,,"'16159010320',"
,,,"'16159010410',"
,,,"'16159010428',"
,,,"'16901030645',"
,,,"'16901030650',"
,,,"'16902010417',"
,,,"'16902010437',"
,,,"'16902010446',"
,,,"'16902010505',"
,,,"'16902010541',"
,,,"'16902020611',"
,,,"'16902020624',"
,,,"'16902020708',"
,,,"'16902020720',"
,,,"'16902060305',"
,,,"'16902060317',"
,,,"'5157010720',"
